id,salary_pay,salary_rate,salary_avg,salary_min,salary_max,salary_hourly,salary_yearly,salary_standardized,title,company_name,location,via,extensions,posted_at,schedule_type,work_from_home,date_time,description_tokens
1323,,,,,,,,,Sales Operations & Data Analyst,Mynd,Anywhere,via LinkedIn,"['17 hours ago', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",17 hours ago,Full-time,True,19:22.3,['jira']
1324,140K to 160K,a year,150000.0,140000.0,160000.0,,150000.0,150000.0,"Senior Analyst, Data Analytics (Product)",Harnham,Anywhere,via LinkedIn,"['14 hours ago', '140K to 160K a year', 'Work from home', 'Full-time', 'No degree mentioned']",14 hours ago,Full-time,True,00:19.1,"['looker', 'sql', 'r', 'tableau', 'python']"
1325,,,,,,,,,Data & Reporting Analyst - REMOTE US,MassMutual,Anywhere,via LinkedIn,"['17 hours ago', 'Work from home', 'Full-time']",17 hours ago,Full-time,True,19:21.1,"['sql', 'alteryx', 'excel', 'r']"
1326,,,,,,,,,Senior Analyst Matter Planning/Planning and Analysis,"Shook, Hardy & Bacon L.L.P.","Kansas City, MO",via LinkedIn,"['7 hours ago', 'Full-time']",7 hours ago,Full-time,,00:19.3,[]
1327,,,,,,,,,Lead Data Science Analyst,Discover Financial Services,"Mountain Home, AR",via LinkedIn,"['18 hours ago', 'Full-time']",18 hours ago,Full-time,,00:13.5,[]
1328,,,,,,,,,Data Analyst/Engineer/Scientist,Dice,Anywhere,via LinkedIn,"['1 hour ago', 'Work from home', 'Contractor']",1 hour ago,Contractor,True,19:20.5,"['power_bi', 'github', 'qlik', 'jira', 'dax', 'sql', 'r', 'ssis', 'tableau', 'python']"
1329,,,,,,,,,Lead Data Science Analyst,Discover Financial Services,"New Home, MO",via LinkedIn,"['17 hours ago', 'Full-time']",17 hours ago,Full-time,,00:28.9,[]
1330,,,,,,,,,Data Lead,Kudoboard,Anywhere,via LinkedIn,"['9 hours ago', 'Work from home', 'Full-time', 'No degree mentioned', 'Health insurance']",9 hours ago,Full-time,True,19:21.8,"['sql', 'redshift']"
1331,,,,,,,,,Lead Data Science Analyst,Discover Financial Services,"Broken Arrow, OK",via LinkedIn,"['17 hours ago', 'Full-time']",17 hours ago,Full-time,,00:09.3,[]
1332,,,,,,,,,Power BI - Financial Analyst,White Cap,United States,via LinkedIn,"['16 hours ago', 'Full-time']",16 hours ago,Full-time,,00:10.8,"['spreadsheet', 'power_bi']"
1333,,,,,,,,,Data Scientist,"AmTrust Financial Services, Inc.",Anywhere,via LinkedIn,"['16 hours ago', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",16 hours ago,Full-time,True,00:13.3,"['git', 'matplotlib', 'javascript', 'shell', 'ggplot2', 'pytorch', 'tensorflow', 'bash', 'keras', 'dplyr', 'numpy', 'node', 'sql', 'pandas', 'r', 'python']"
1334,,,,,,,,,Lead Data Science Analyst,Discover Financial Services,United States,via LinkedIn,"['16 hours ago', 'Full-time']",16 hours ago,Full-time,,00:13.3,[]
1335,,,,,,,,,Data Analyst,Blu Ocean Innovations pvt ltd,Anywhere,via LinkedIn,"['4 minutes ago', 'Work from home', 'Full-time', 'No degree mentioned']",4 minutes ago,Full-time,True,00:14.5,[]
1336,64K to 155K,a year,109500.0,64000.0,155000.0,,109500.0,109500.0,Data Analyst-USA- (REMOTE OPTION),Guidewire Software,Anywhere,via Built In,"['11 hours ago', '64K to 155K a year', 'Work from home', 'Full-time', 'Health insurance']",11 hours ago,Full-time,True,00:16.3,"['go', 'tableau', 'power_bi', 'sql', 'excel', 'c', 'r', 'python', 'aws']"
1337,,,,,,,,,Data Analyst IV,Corporate,"Columbia, MO",via JobServe,"['22 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",22 hours ago,Full-time,,00:23.0,"['excel', 'sql']"
1338,,,,,,,,,Data Analyst (Remote - US),Talentify.io,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",15 hours ago,Full-time,True,00:22.1,"['tableau', 'power_bi', 'sql', 'excel']"
1339,,,,,,,,,Data Analyst,TEKsystems,"Tulsa, OK",via Nexxt,"['16 hours ago', 'Full-time', 'No degree mentioned']",16 hours ago,Full-time,,19:21.7,"['excel', 'sql']"
1340,,,,,,,,,Data Analyst,Millennium Space Systems,United States,via Rocket Crew,"['12 hours ago', 'Full-time', 'Health insurance', 'Dental insurance']",12 hours ago,Full-time,,00:16.8,"['julia', 'numpy', 'sql', 'scikit-learn', 'pandas', 'r', 'python']"
1341,,,,,,,,,Data Analyst,CedarCreek Systems,Anywhere,via LinkedIn,"['2 hours ago', 'Work from home', 'Full-time']",2 hours ago,Full-time,True,00:30.4,"['power_bi', 'excel', 'mssql', 'sql', 't-sql', 'powerpoint']"
1342,16 to 45,an hour,30.5,16.0,45.0,30.5,,63440.0,Data analyst/Bi expert,Upwork,Anywhere,via Upwork,"['16 hours ago', '16 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",16 hours ago,Contractor,True,19:22.3,[]
1343,,,,,,,,,Data Analyst III (Healthcare Analytics),Radancy,"Columbia, MO",via Adzuna,"['12 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",12 hours ago,Full-time,,00:19.1,"['python', 'power_bi']"
1344,,,,,,,,,Data Analyst,TTM Technologies - North America,United States,via KSNT Jobs,"['14 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",14 hours ago,Full-time,,19:21.1,"['sql', 'c', 'python']"
1345,56.9K to 99.6K,a year,78250.0,56900.0,99600.0,,78250.0,78250.0,"Data Analyst (Huntsville, AL)",Parsons Corporation,United States,via Built In,"['11 hours ago', '56.9K to 99.6K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",11 hours ago,Full-time,,00:19.3,[]
1346,,,,,,,,,Data Analyst,Gierd,United States,via LinkedIn,"['1 hour ago', 'Full-time', 'No degree mentioned']",1 hour ago,Full-time,,00:21.6,[]
1347,,,,,,,,,Data Analyst III-Remote,Corporate,Missouri,via Big Country Jobs,"['2 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",2 hours ago,Full-time,,00:13.3,"['excel', 'sql', 'sap']"
1348,,,,,,,,,Data Analyst - Now Hiring,TEKsystems,"Oklahoma City, OK",via Snagajob,"['19 hours ago', 'Part-time', 'No degree mentioned']",19 hours ago,Part-time,,00:18.9,"['excel', 'sql']"
1349,,,,,,,,,Business Analyst/Healthcare Data Analyst,Alakaina Foundation Family of Companies,United States,via My ArkLaMiss Jobs,"['12 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",12 hours ago,Full-time,,00:11.1,"['sas', 'sql']"
1350,,,,,,,,,Senior Data Analyst (Manager),Tyson Foods,"Springdale, AR",via KSNT Jobs,"['11 hours ago', 'Full-time']",11 hours ago,Full-time,,00:12.3,[]
1351,16 to 45,an hour,30.5,16.0,45.0,30.5,,63440.0,Website Data Analyst,Upwork,Anywhere,via Upwork,"['36 minutes ago', '16 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",36 minutes ago,Contractor,True,00:15.8,[]
1352,,,,,,,,,Data Analyst,7 reviews,United States,via Laimoon.com,"['4 hours ago', 'Contractor', 'Health insurance', 'Dental insurance', 'Paid time off']",4 hours ago,Contractor,,00:34.3,"['go', 'sql', 'excel', 'python']"
1353,,,,,,,,,Senior Data Analyst,H&R Block,"Kansas City, MO",via My ArkLaMiss Jobs,"['15 hours ago', 'Full-time']",15 hours ago,Full-time,,19:19.8,"['power_bi', 'r']"
1354,,,,,,,,,Senior Data Analyst (Clinical),Cityblock Health,Anywhere,via LinkedIn,"['4 hours ago', 'Work from home', 'Full-time', 'No degree mentioned', 'Health insurance', 'Dental insurance', 'Paid time off']",4 hours ago,Full-time,True,19:21.2,"['looker', 'tableau', 'bigquery', 'sql']"
1355,,,,,,,,,Financial Data Analyst III,Corporate,Missouri,via Big Country Jobs,"['2 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",2 hours ago,Full-time,,19:22.2,['sql']
1356,,,,,,,,,Data Analyst,EquipmentShare,"Sun City, KS",via My Valley Jobs Today,"['13 hours ago', 'Full-time', 'Health insurance']",13 hours ago,Full-time,,19:22.5,"['sql', 'r', 'python']"
1357,,,,,,,,,Data Analyst,LexisNexis Risk Solutions,"Oklahoma City, OK",via BeBee,"['14 hours ago', 'Full-time', 'No degree mentioned']",14 hours ago,Full-time,,00:09.2,[]
1358,,,,,,,,,Data Analyst - Remote,Talentify.io,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Contractor']",15 hours ago,Contractor,True,00:09.2,['word']
1359,,,,,,,,,"Data Analyst, Blockchain Experience [Remote]",Braintrust,"Kansas City, MO",via My ArkLaMiss Jobs,"['13 hours ago', 'Full-time', 'No degree mentioned']",13 hours ago,Full-time,,00:12.3,[]
1360,,,,,,,,,Sales Data Analyst,Salon Service Group,"Springfield, MO",via KSNT Jobs,"['14 hours ago', 'Full-time', 'Paid time off']",14 hours ago,Full-time,,00:12.3,"['outlook', 'excel', 'word']"
1361,,,,,,,,,"Remote - Data Analyst, Must be in greater Louisville, KY area",Ingenium Talent,"Kansas City, MO",via Big Country Jobs,"['13 hours ago', 'Full-time']",13 hours ago,Full-time,,00:12.3,"['power_bi', 'sql', 'r', 'tableau', 'python']"
1362,,,,,,,,,Senior Transportation Data Analyst - Remote,HARBOR FREIGHT TOOLS,United States,via WGN-TV Jobs,"['13 hours ago', 'Full-time']",13 hours ago,Full-time,,00:15.7,"['sql', 'tableau']"
1363,,,,,,,,,"Data Analyst, Space Operations Data",Virgin Galactic,United States,via Virgin Galactic Careers,"['1 hour ago', 'Full-time', 'Health insurance']",1 hour ago,Full-time,,00:19.3,"['power_bi', 'excel']"
1364,,,,,,,,,Data Analyst,Vesta,United States,via BeBee,"['14 hours ago', 'Full-time']",14 hours ago,Full-time,,00:19.3,"['power_bi', 'sql', 'python', 'azure']"
1365,,,,,,,,,Create a portfolio for Data Analyst,Upwork,Anywhere,via Upwork,"['20 hours ago', 'Work from home', 'Contractor']",20 hours ago,Contractor,True,00:20.4,[]
1366,,,,,,,,,"Data Analyst, Blockchain Experience [Remote]",Braintrust,United States,via My ArkLaMiss Jobs,"['13 hours ago', 'Full-time', 'No degree mentioned']",13 hours ago,Full-time,,00:21.6,[]
1367,,,,,,,,,Data Analyst III,Walmart,"Cassville, MO",via ZipRecruiter,"['18 hours ago', 'Full-time']",18 hours ago,Full-time,,00:21.6,"['tableau', 'spark', 'sas', 'power_bi', 'nosql', 'sql', 'matplotlib', 'power_bi', 'excel', 'r', 'python', 'scala']"
1368,,,,,,,,,Lead Finance Data Analyst,J&J Family of Companies,"Oklahoma City, OK",via My ArkLaMiss Jobs,"['2 hours ago', 'Full-time', 'Health insurance', 'Paid time off']",2 hours ago,Full-time,,00:23.3,"['go', 'sap', 'sql', 'alteryx']"
1369,,,,,,,,,Data Analyst (Fortify) (Remote),Talentify.io,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time']",15 hours ago,Full-time,True,00:23.3,[]
1370,,,,,,,,,"Data Analyst, Pediatric Gastroenterology",Indiana University,United States,via Datafloq,"['20 hours ago', 'Full-time', 'No degree mentioned']",20 hours ago,Full-time,,00:23.3,[]
1371,10 to 25,an hour,17.5,10.0,25.0,17.5,,36400.0,Data.analyst,Upwork,Anywhere,via Upwork,"['9 hours ago', '10 to 25 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",9 hours ago,Contractor,True,00:24.5,['python']
1372,77K to 116K,a year,96500.0,77000.0,116000.0,,96500.0,96500.0,"Sr. Data Analyst, Marketing Operations",Cox Communications,"Colwich, KS",via ZipRecruiter,"['18 hours ago', '77K to 116K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",18 hours ago,Full-time,,00:24.5,"['jira', 'tableau', 'microstrategy', 'sql']"
1373,,,,,,,,,Data Analyst II (Healthcare Analytics),Corporate,Missouri,via My ArkLaMiss Jobs,"['2 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",2 hours ago,Full-time,,00:24.5,"['python', 'power_bi']"
1374,,,,,,,,,Principal Data Analyst - Remote / Telecommute,Talentify.io,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time']",15 hours ago,Full-time,True,00:26.7,"['tableau', 'sas', 'snowflake', 'azure', 'power_bi', 'sql', 'python']"
1375,21.01,an hour,21.01,,,21.01,,43700.8,Data Analyst Community Data COVID-19,Sedgwick County,"Wichita, KS",via ZipRecruiter,"['17 hours ago', '21.01 an hour', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",17 hours ago,Full-time,,00:26.7,"['sas', 'spss', 'excel']"
1376,,,,,,,,,"Remote - Data Analyst, Must be in greater Louisville, KY area",Ingenium Talent,United States,via My ArkLaMiss Jobs,"['13 hours ago', 'Full-time']",13 hours ago,Full-time,,00:26.7,"['power_bi', 'sql', 'r', 'tableau', 'python']"
1377,40 to 90,an hour,65.0,40.0,90.0,65.0,,135200.0,Data analysis - Part time remote,Upwork,Anywhere,via Upwork,"['4 hours ago', '40 to 90 an hour', 'Work from home', 'Part-time', 'No degree mentioned']",4 hours ago,Part-time,True,00:27.9,['spreadsheet']
1378,,,,,,,,,Data Analyst,RELX,"Oklahoma City, OK",via ZipRecruiter,"['7 hours ago', 'Full-time', 'No degree mentioned']",7 hours ago,Full-time,,00:27.9,[]
1379,77K to 116K,a year,96500.0,77000.0,116000.0,,96500.0,96500.0,"Sr. Data Analyst, Marketing Operations",Cox Communications,"Maize, KS",via ZipRecruiter,"['18 hours ago', '77K to 116K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",18 hours ago,Full-time,,00:29.1,"['jira', 'tableau', 'microstrategy', 'sql']"
1380,,,,,,,,,I need data science and data analytics.,Upwork,Anywhere,via Upwork,"['18 hours ago', 'Work from home', 'Contractor']",18 hours ago,Contractor,True,00:29.1,[]
1381,,,,,,,,,"Sr. Data Analyst, Operations",Papa,Anywhere,via LinkedIn,"['16 hours ago', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",16 hours ago,Full-time,True,00:29.1,"['looker', 'postgres', 'go', 'tableau', 'snowflake', 'sql', 'power_bi']"
1382,,,,,,,,,Data analysis excel,Upwork,Anywhere,via Upwork,"['11 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",11 hours ago,Contractor,True,00:29.1,['excel']
1383,,,,,,,,,Data Analyst remote,Gravity Global...,Anywhere,via LinkedIn,"['11 hours ago', 'Work from home', 'Full-time']",11 hours ago,Full-time,True,00:32.1,"['tableau', 'power_bi', 'gdpr', 'excel']"
1384,,,,,,,,,Financial Analyst,Community Health Network (Indiana),United States,via ZipRecruiter,"['19 hours ago', 'Full-time']",19 hours ago,Full-time,,00:09.3,[]
1385,,,,,,,,,Senior Data Analyst,"Ginkgo Bioworks, Inc.",Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time', 'No degree mentioned']",15 hours ago,Full-time,True,00:09.3,"['atlassian', 'jira', 'tableau', 'seaborn', 'sql', 'matplotlib', 'excel', 'pandas', 'python']"
1386,38 to 75,an hour,56.5,38.0,75.0,56.5,,117520.0,Clinical study analyst data manager,Upwork,Anywhere,via Upwork,"['15 hours ago', '38 to 75 an hour', 'Work from home', 'Contractor']",15 hours ago,Contractor,True,00:09.3,[]
1387,,,,,,,,,Data Integration Analyst,Gainwell Technologies,United States,via LinkedIn,"['16 hours ago', 'Full-time', 'Health insurance', 'Paid time off']",16 hours ago,Full-time,,00:09.3,"['sql', 'c', 'unix']"
1388,,,,,,,,,Data Analyst II (Healthcare Analytics),Corporate,"Jefferson City, MO",via WDHN Jobs,"['2 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",2 hours ago,Full-time,,00:10.8,"['excel', 'sql', 'python', 'power_bi']"
1389,30 to 75,an hour,52.5,30.0,75.0,52.5,,109200.0,GA4 Implementation and Accurate Conversion Tracking,Upwork,Anywhere,via Upwork,"['7 hours ago', '30 to 75 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",7 hours ago,Contractor,True,00:10.8,[]
1390,,,,,,,,,Master Data Analyst - Supply Chain,Accenture,Anywhere,via LinkedIn,"['16 hours ago', 'Work from home', 'Contractor']",16 hours ago,Contractor,True,00:14.5,"['sap', 'powerpoint', 'excel', 'c']"
1391,,,,,,,,,"Senior Manager I, Business Support - W+ Data Analytics and Reporting",Walmart,"Gravette, AR",via ZipRecruiter,"['18 hours ago', 'Full-time']",18 hours ago,Full-time,,00:14.5,"['looker', 'go', 'tableau', 'bigquery', 'sql', 'gcp', 'power_bi']"
1392,,,,,,,,,Revenue factors dashboard,Upwork,Anywhere,via Upwork,"['11 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",11 hours ago,Contractor,True,00:16.3,['excel']
1393,,,,,,,,,Senior Marketing Operations Analyst - Contract,Riverbed Technology,Anywhere,via LinkedIn,"['18 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:18.9,"['tableau', 'sql', 'pl/sql']"
1394,16 to 45,an hour,30.5,16.0,45.0,30.5,,63440.0,GA4 Setup and Reporting,Upwork,Anywhere,via Upwork,"['12 hours ago', '16 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",12 hours ago,Contractor,True,00:18.9,[]
1395,12 to 35,an hour,23.5,12.0,35.0,23.5,,48880.0,Data science,Upwork,Anywhere,via Upwork,"['17 hours ago', '12 to 35 an hour', 'Work from home', 'Contractor']",17 hours ago,Contractor,True,00:23.0,"['selenium', 'python']"
1396,16 to 45,an hour,30.5,16.0,45.0,30.5,,63440.0,Need Analytics & Event Tracking Journey Configured,Upwork,Anywhere,via Upwork,"['6 hours ago', '16 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",6 hours ago,Contractor,True,00:23.0,[]
1397,15 to 40,an hour,27.5,15.0,40.0,27.5,,57200.0,Predictive Analytics Expert - Debt Collection Agency,Upwork,Anywhere,via Upwork,"['12 hours ago', '15 to 40 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",12 hours ago,Contractor,True,00:23.0,[]
1398,15 to 35,an hour,25.0,15.0,35.0,25.0,,52000.0,Qualtrics Expert to Run Reports,Upwork,Anywhere,via Upwork,"['9 hours ago', '15 to 35 an hour', 'Work from home', 'Contractor']",9 hours ago,Contractor,True,00:23.0,[]
1399,,,,,,,,,GA4 Analytics Conversion Setup,Upwork,Anywhere,via Upwork,"['4 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",4 hours ago,Contractor,True,00:24.3,[]
1400,,,,,,,,,Data Analyst,Grid,United States,via LinkedIn,"['6 hours ago', 'Full-time', 'No degree mentioned', 'Health insurance', 'Dental insurance', 'Paid time off']",6 hours ago,Full-time,,00:24.3,[]
1401,22 to 35,an hour,28.5,22.0,35.0,28.5,,59280.0,data analyst,Randstad,"Bentonville, AR",via Indeed,"['6 hours ago', '22 to 35 an hour', 'Contractor', 'Health insurance', 'Dental insurance']",6 hours ago,Contractor,,00:24.3,"['sql', 'tableau']"
1402,,,,,,,,,Data Analyst,Dice,Anywhere,via LinkedIn,"['7 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",7 hours ago,Contractor,True,00:24.3,"['matplotlib', 'numpy', 'sql', 'pandas', 'plotly', 'jupyter', 'tableau', 'python', 'power_bi']"
1403,10 to 30,an hour,20.0,10.0,30.0,20.0,,41600.0,Data Analyst,Upwork,Anywhere,via Upwork,"['8 hours ago', '10 to 30 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",8 hours ago,Contractor,True,00:30.2,[]
1404,,,,,,,,,Data Analyst,Insight Global,United States,via LinkedIn,"['13 hours ago', 'Contractor', 'No degree mentioned']",13 hours ago,Contractor,,00:30.2,"['sql', 'snowflake', 'tableau']"
1405,,,,,,,,,Lead Data Analyst,EDWARD JONES,"Higginsville, MO",via Monster,"['21 hours ago', 'Full-time', 'Health insurance']",21 hours ago,Full-time,,00:30.2,[]
1406,,,,,,,,,Jr. Data Analyst,"Staffigo Technical Services, LLC","Conway, AR",via Adzuna,"['11 hours ago', 'Full-time']",11 hours ago,Full-time,,00:31.8,"['power_bi', 'excel', 'tableau']"
1407,,,,,,,,,Workday Reporting Data Analyst,Corporate,"Columbia, MO",via My ArkLaMiss Jobs,"['10 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",10 hours ago,Full-time,,00:31.8,['excel']
1408,55 to 60,an hour,57.5,55.0,60.0,57.5,,119600.0,Data Analyst,Applicantz,Anywhere,via LinkedIn,"['16 hours ago', '55 to 60 an hour', 'Work from home', 'Contractor']",16 hours ago,Contractor,True,00:31.8,"['power_bi', 'qlik', 'power_bi']"
1409,,,,,,,,,"Data Quality Analyst - Experian Health - Strong SQL experience, QA...",Experian,United States,via SmartRecruiters Job Search,"['8 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",8 hours ago,Full-time,,00:31.8,"['selenium', 'word', 'sql']"
1410,,,,,,,,,Data Analyst,MSX INTERNATIONAL,United States,via Indeed,"['6 hours ago', 'Full-time']",6 hours ago,Full-time,,00:31.8,"['tableau', 'power_bi', 'sql', 'alteryx', 'excel', 'ssis']"
1411,,,,,,,,,Workday Reporting Data Analyst,Corporate,"Jefferson City, MO",via Big Country Jobs,"['10 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",10 hours ago,Full-time,,00:13.9,['excel']
1412,16 to 40,an hour,28.0,16.0,40.0,28.0,,58240.0,Part-time data analyst,Upwork,Anywhere,via Upwork,"['11 hours ago', '16 to 40 an hour', 'Work from home', 'Part-time', 'No degree mentioned']",11 hours ago,Part-time,True,00:13.9,['sql']
1413,,,,,,,,,Lead Data Analyst,EDWARD JONES,"Centralia, MO",via KSNT Jobs,"['19 hours ago', 'Full-time', 'Health insurance']",19 hours ago,Full-time,,00:16.8,[]
1414,,,,,,,,,Data Analyst - Remote,Talentify.io,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time', 'No degree mentioned']",15 hours ago,Full-time,True,00:18.0,"['sql', 'python', 'aws']"
1415,70.73,an hour,70.73,,,70.73,,147118.4,Data Analyst 4,ICONMA,Anywhere,via ICONMA - Talentify,"['2 hours ago', '70.73 an hour', 'Work from home', 'Contractor']",2 hours ago,Contractor,True,00:20.0,"['sas', 'word', 'sql', 'power_bi', 'excel']"
1416,,,,,,,,,Jr. Data Analyst,"Staffigo Technical Services, LLC","Dover, AR",via Adzuna,"['11 hours ago', 'Full-time']",11 hours ago,Full-time,,00:20.0,"['power_bi', 'excel', 'tableau']"
1417,,,,,,,,,Workday Reporting Data Analyst,Corporate,"Kansas City, MO",via Big Country Jobs,"['10 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",10 hours ago,Full-time,,00:21.7,['excel']
1418,,,,,,,,,Senior Data Analyst,Homesite Insurance,United States,via Indeed,"['3 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",3 hours ago,Full-time,,00:26.7,"['tableau', 'sql', 'python']"
1419,,,,,,,,,Lead Data Analyst,EDWARD JONES,"Fordland, MO",via Monster,"['21 hours ago', 'Full-time', 'Health insurance']",21 hours ago,Full-time,,00:26.7,[]
1420,,,,,,,,,Data Analyst,The Trevor Project,Anywhere,via LinkedIn,"['21 hours ago', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",21 hours ago,Full-time,True,00:26.7,"['looker', 'tableau', 'bigquery', 'sql', 'power_bi', 'r', 'python', 'aws']"
1421,105850 to 158780,a year,132315.0,105850.0,158780.0,,132315.0,132315.0,Institutional Credit Management - Lending Data Analyst - Vice...,Citi,United States,via WJHL Jobs,"['15 hours ago', '105,850 to 158,780 a year', 'Full-time']",15 hours ago,Full-time,,00:26.7,"['cognos', 'tableau']"
1422,,,,,,,,,"Team Lead, Data Analytics - EABI (Flexible/Remote)",COMMERCE BANK,"Kansas City, MO",via Central Illinois Proud Jobs,"['12 hours ago', 'Full-time']",12 hours ago,Full-time,,00:27.7,"['sap', 'outlook', 'word', 'sql', 'power_bi', 'excel', 'python']"
1423,60 to 62,an hour,61.0,60.0,62.0,61.0,,126880.0,Data Analyst ( Remote only W2/1099 ),Snappyhires,Anywhere,via Indeed,"['9 hours ago', '60 to 62 an hour', 'Work from home', 'Contractor', 'Health insurance', 'Dental insurance', 'Paid time off']",9 hours ago,Contractor,True,00:27.7,"['javascript', 'excel', 'sas', 'sql', 'r', 'python', 'spss']"
1424,38 to 75,an hour,56.5,38.0,75.0,56.5,,117520.0,Data analyst for several consultations,Upwork,Anywhere,via Upwork,"['22 hours ago', '38 to 75 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",22 hours ago,Contractor,True,00:26.7,"['sql', 'python']"
1425,,,,,,,,,Data Analyst,TTM Technologies - North America,United States,via Big Country Jobs,"['12 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",12 hours ago,Full-time,,00:26.7,"['sql', 'c', 'python']"
1426,,,,,,,,,Junior Data Analyst,Diligente Technologies,United States,via LinkedIn,"['11 hours ago', 'Contractor', 'No degree mentioned']",11 hours ago,Contractor,,00:29.1,"['outlook', 'excel', 'word']"
1427,,,,,,,,,Data Analyst - Secret clearance - Remote Remote / Telecommute Jobs,General Dynamics Information Technology,Anywhere,via Clearance Jobs,"['7 hours ago', 'Work from home', 'Full-time', 'Health insurance']",7 hours ago,Full-time,True,00:28.9,"['t-sql', 'sql', 'pl/sql']"
1428,,,,,,,,,Data Analyst - Swisslog,Swisslog,United States,via Swisslog,"['5 hours ago', 'Full-time', 'Health insurance', 'Dental insurance']",5 hours ago,Full-time,,19:21.8,"['power_bi', 'excel', 'word', 'sql', 'r', 'tableau', 'python', 'powerpoint']"
1429,,,,,,,,,Jr. Data Analyst,"Staffigo Technical Services, LLC","Nashville, AR",via Adzuna,"['11 hours ago', 'Full-time']",11 hours ago,Full-time,,00:26.7,"['power_bi', 'excel', 'tableau']"
1430,,,,,,,,,Lead Data Analyst,EDWARD JONES,"Fulton, MO",via Monster,"['21 hours ago', 'Full-time', 'Health insurance']",21 hours ago,Full-time,,00:27.9,[]
1431,83K to 89K,a year,86000.0,83000.0,89000.0,,86000.0,86000.0,Senior Data Analyst,"Culmen International, LLC",United States,via Indeed,"['10 hours ago', '83K to 89K a year', 'Full-time', 'Health insurance', 'Dental insurance']",10 hours ago,Full-time,,00:29.1,"['tableau', 'excel']"
1432,,,,,,,,,Junior Data Analyst,Diligente Technologies,United States,via LinkedIn,"['11 hours ago', 'Contractor', 'No degree mentioned']",11 hours ago,Contractor,,00:29.1,"['outlook', 'excel', 'word']"
1433,,,,,,,,,2023 University Graduate (U.S.) - Information Management Data...,Bechtel,United States,via Bechtel,"['20 hours ago', 'Full-time']",20 hours ago,Full-time,,00:32.1,"['ssrs', 'power_bi', 'pl/sql']"
1434,60 to 70,an hour,65.0,60.0,70.0,65.0,,135200.0,Sr. Data Analyst,SVTC IT,Anywhere,via Indeed,"['14 hours ago', '60 to 70 an hour', 'Work from home', 'Full-time', 'No degree mentioned']",14 hours ago,Full-time,True,00:32.1,"['excel', 'qlik', 'jira', 'word', 'visio', 'sql', 'tableau', 'redshift']"
1435,25 to 40,an hour,32.5,25.0,40.0,32.5,,67600.0,Data Analyst - Marketing,Upwork,Anywhere,via Upwork,"['14 hours ago', '25 to 40 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",14 hours ago,Contractor,True,00:32.1,[]
